uniq,SUBJID,1_17634547_17634563,1_9756480_9756511,10_110132304_110132401,10_7806973_7807011,10_84499874_84499960,10_95414493_95414863,11_57791384_57791674,12_121244572_121244616,14_103498501_103498529,17_17180606_17180670,19_10921374_10921444,19_7905807_7905856,2_46958494_46958553,22_29531077_29531111,7_134935687_134935766,9_128609650_128609666,9_2651414_2651499,X_31126641_31126674
GTEX-11DXX-0926-SM-5H112,GTEX-11DXX,0.9764705882352941,0.006993006993006993,0.8787878787878788,0.9839228295819936,0.037037037037037035,0.391304347826087,0.16216216216216217,0.08571428571428572,0.058823529411764705,0.2818991097922849,0.12962962962962962,0.1891891891891892,0.05405405405405406,0.058823529411764705,0.30434782608695654,0.0743801652892562,0.023255813953488372,0.025
GTEX-11DXX-1026-SM-5H11E,GTEX-11DXX,0.680365296803653,0.6753246753246753,0.07317073170731707,0.5338709677419354,0.6521739130434783,0.9243986254295533,0.9489795918367347,0.8758620689655172,0.8626865671641791,0.9486673247778875,0.21621621621621623,0.8709677419354839,0.8148148148148148,0.95,0.9816225907664724,0.15519568151147098,0.2857142857142857,0.8753709198813057
GTEX-11DXX-1126-SM-5GZZK,GTEX-11DXX,0.9179487179487179,0.15508021390374332,0.4188034188034188,0.9556400506970849,0.10112359550561797,0.9577464788732394,0.10602409638554217,0.17647058823529413,0.20689655172413793,0.5160256410256411,0.1826086956521739,0.15,0.024,0.3018867924528302,0.7375690607734806,0.11777301927194861,0.13559322033898305,0.5172413793103449
GTEX-11DXX-1226-SM-5GICD,GTEX-11DXX,0.55,0.5167785234899329,0.03553299492385787,0.6370106761565836,0.48148148148148145,0.8648255813953488,0.8817204301075269,0.7435897435897436,0.8285714285714286,0.9468845760980592,0.21774193548387097,0.7739130434782608,0.5,0.8686868686868687,0.9226293442365152,0.18421052631578946,0.1504424778761062,0.7741935483870968
GTEX-11DXX-1326-SM-5GIDZ,GTEX-11DXX,0.859375,0.15789473684210525,0.7372262773722628,0.9804081632653061,0.0,0.5466666666666666,0.2606060606060606,0.23076923076923078,0.12457912457912458,0.2998324958123953,0.3008130081300813,0.3142857142857143,0.07692307692307693,0.17647058823529413,0.5542857142857143,0.17535545023696683,0.05263157894736842,0.0967741935483871
GTEX-11DXX-1426-SM-5GIDU,GTEX-11DXX,0.34615384615384615,0.7109375,0.0625,0.5209235209235209,0.47058823529411764,0.9130434782608695,0.8256410256410256,0.47619047619047616,0.86,0.8833819241982507,0.2,0.855072463768116,0.7948717948717948,0.6875,0.18622174381054898,0.2896,0.439469320066335,0.4567901234567901
GTEX-11DXX-1526-SM-5H115,GTEX-11DXX,0.7441860465116279,0.8116343490304709,0.02097902097902098,0.5484536082474227,0.6363636363636364,0.8723404255319149,0.8620689655172413,0.8290598290598291,0.9011627906976745,0.9651860744297719,0.19101123595505617,0.873015873015873,0.7692307692307693,0.8984375,0.5283620140216698,0.18057285180572852,0.5283018867924528,0.27586206896551724
GTEX-11DXX-1626-SM-5H11H,GTEX-11DXX,0.9010989010989011,0.11494252873563218,0.7352941176470589,0.9433962264150944,0.14893617021276595,0.8823529411764706,0.21052631578947367,0.14074074074074075,0.2038369304556355,0.27586206896551724,0.21052631578947367,0.4794520547945205,0.08045977011494253,0.375,0.4647058823529412,0.19111111111111112,0.5,0.22580645161290322
GTEX-11DXX-1726-SM-5H11T,GTEX-11DXX,0.9081632653061225,0.24087591240875914,0.5055350553505535,0.7972270363951474,0.16363636363636364,1.0,0.2611464968152866,0.4444444444444444,0.3421750663129973,0.6927710843373494,0.19310344827586207,0.38235294117647056,0.16279069767441862,0.47572815533980584,0.293598233995585,0.24528301886792453,0.02857142857142857,0.16666666666666666
GTEX-11DXX-1826-SM-5H126,GTEX-11DXX,0.8924731182795699,0.05952380952380952,0.825503355704698,0.9706994328922496,0.13043478260869565,0.7777777777777778,0.17365269461077845,0.0975609756097561,0.16,0.32701421800947866,0.20175438596491227,0.24528301886792453,0.07246376811594203,0.375,0.57,0.20579710144927535,0.08108108108108109,0.2
GTEX-11DXX-1926-SM-5EGJK,GTEX-11DXX,0.7627118644067796,0.7046979865771812,0.022727272727272728,0.3824503311258278,0.7142857142857143,0.9316770186335404,0.9323671497584541,0.8344827586206897,0.89937106918239,0.9488229273285568,0.21232876712328766,0.8861788617886179,0.9310344827586207,0.9363636363636364,0.9484518249437813,0.3456561922365989,0.3442622950819672,0.8641509433962264
GTEX-11DXX-2026-SM-5EGJL,GTEX-11DXX,0.775,0.7115384615384616,0.034482758620689655,0.6766575840145322,0.6956521739130435,0.8764705882352941,0.9562043795620438,0.5,0.7697841726618705,0.9477756286266924,0.1907514450867052,0.9104477611940298,0.7714285714285715,0.7808219178082192,0.7722222222222223,0.2906666666666667,0.5616438356164384,0.62
